index,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
SPX,log_slope_quad,120,1m,expanding,expanding,-0.5027835924650947,-1.6092800933205524,0.9462224450562255,0.0014640533106718167,0.9889387664309489,0.9933721268933438
SPX,log_slope_quad,120,3m,expanding,expanding,-0.5778739980148551,-0.44643869921850293,0.6723598081106942,0.005620639877306613,0.9080422345234624,0.9434501192775976
SPX,log_slope_quad,120,6m,expanding,expanding,5.597840773529272,1.907312093813074,0.02824009252195051,0.03968210628368346,0.14120046260975255,0.32274391453657725
SPX,log_slope_quad,120,12m,expanding,expanding,19.363055858135624,3.5168944535471907,2.1831368248224567e-4,0.08470278307581393,0.0021831368248224564,0.01746509459857965
FTSE,log_slope_quad,120,1m,expanding,expanding,-5.68656577043869,-2.2882585790971737,0.9889387664309489,-0.004097675043721538,0.9889387664309489,0.9933721268933438
FTSE,log_slope_quad,120,3m,expanding,expanding,-1.2663254873297225,-1.4590339845375657,0.9277221228973319,1.0140520157258251e-4,0.9277221228973319,0.9933721268933438
FTSE,log_slope_quad,120,6m,expanding,expanding,6.07680479711804,1.9348808876325077,0.02650245702458906,0.0162736360308458,0.14120046260975255,0.32274391453657725
FTSE,log_slope_quad,120,12m,expanding,expanding,12.047476345951413,3.011977636447301,0.0012977585912588652,0.03433228450009734,0.006488792956294326,0.034606895766903074
DAX,log_slope_quad,120,1m,expanding,expanding,-0.3666087223349601,0.20824144477069337,0.4175202247909342,0.008468491289230762,0.9889387664309489,0.7952766186493985
DAX,log_slope_quad,120,3m,expanding,expanding,-1.3770720456737662,0.14860044409075326,0.4409344612838743,0.02092225892675805,0.9080422345234624,0.8203431837839522
DAX,log_slope_quad,120,6m,expanding,expanding,1.4313385907878673,0.7474439250040065,0.22739781967759537,0.04610479888714137,0.37899636612932563,0.7155324323059178
DAX,log_slope_quad,120,12m,expanding,expanding,3.151135155844409,1.0025230144389374,0.15804552844352532,0.11041469688551697,0.269335953722585,0.6091148848291909
ASX,log_slope_quad,120,1m,expanding,expanding,-0.7658127848472196,-0.37636883892227074,0.6466786456210513,0.00307354368620042,0.9889387664309489,0.9434501192775976
ASX,log_slope_quad,120,3m,expanding,expanding,0.13224203914441457,0.3908980311567573,0.34793630466526027,0.009605674583567871,0.9080422345234624,0.7782850969315067
ASX,log_slope_quad,120,6m,expanding,expanding,5.068456679437161,1.0464918964989924,0.14766699216852233,0.021996491796884808,0.29853452771311423,0.6091148848291909
ASX,log_slope_quad,120,12m,expanding,expanding,7.598996947022185,0.987896898711651,0.161601572233551,0.04094878524017023,0.269335953722585,0.6091148848291909
ESTOX,log_slope_quad,120,1m,expanding,expanding,0.24373732568427897,0.43157763916359226,0.3330242066006838,0.009813607738182123,0.9889387664309489,0.7782850969315067
ESTOX,log_slope_quad,120,3m,expanding,expanding,2.884240753180445,0.9130162668400664,0.18061699314402582,0.02301408871078241,0.9080422345234624,0.6282330196313941
ESTOX,log_slope_quad,120,6m,expanding,expanding,5.800591351973782,1.450549844075481,0.07345262509601816,0.035986289764128564,0.24484208365339388,0.5343868399860155
ESTOX,log_slope_quad,120,12m,expanding,expanding,4.791700814802491,1.3611268124100484,0.08673680886896597,0.05563336427653792,0.2168420221724149,0.5343868399860155
KOSPI,log_slope_quad,120,1m,expanding,expanding,-1.002362714170757,-0.4677591932628269,0.6800215973036925,-0.005439489185336901,0.9889387664309489,0.9434501192775976
KOSPI,log_slope_quad,120,3m,expanding,expanding,-2.3340843143356382,-0.06751135646104338,0.5269126892477339,-0.025702095104158384,0.9080422345234624,0.8799092814739201
KOSPI,log_slope_quad,120,6m,expanding,expanding,-4.997601048555866,-1.7508711008794196,0.9600159421190007,-0.03050406152266863,0.9600159421190007,0.9933721268933438
KOSPI,log_slope_quad,120,12m,expanding,expanding,-9.027029036438705,-0.8987499606883097,0.8156070705441588,-0.07266392114985158,0.8551096563719323,0.9933721268933438
NASDAQ,log_slope_quad,120,1m,expanding,expanding,-1.173518282470587,-0.8219163011785339,0.7944377326621681,0.00415570533800005,0.9889387664309489,0.9933721268933438
NASDAQ,log_slope_quad,120,3m,expanding,expanding,-1.954432951331353,-0.9048894100506277,0.8172380110711162,0.006954476462519409,0.9080422345234624,0.9933721268933438
NASDAQ,log_slope_quad,120,6m,expanding,expanding,-1.9216364360515215,-0.6710525097137588,0.748906460519957,0.011269710639504413,0.8321182894666189,0.9663309167999445
NASDAQ,log_slope_quad,120,12m,expanding,expanding,-3.084467600574281,-1.0586028525456288,0.8551096563719323,0.012120552959909549,0.8551096563719323,0.9933721268933438
NIFTY,log_slope_quad,120,1m,expanding,expanding,-4.687837882034063,0.23023012969838463,0.40895647525886913,-0.016755118358781924,0.9889387664309489,0.7952766186493985
