index,predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
SPX,skew_ratio_80_120,60,1m,rolling,rolling,-2.1432694863685597,-1.1111477947461013,0.8667476309783081,-0.021936230287824945,0.9630529233092312,0.9044323105860606
SPX,skew_ratio_80_120,60,3m,rolling,rolling,-0.850964085952377,0.867152798486483,0.19292914735990802,-0.07268428596726305,0.32154857893318006,0.38585829471981603
SPX,skew_ratio_80_120,60,6m,rolling,rolling,3.150692020112922,1.9408298774872894,0.026139457872036292,-0.15838531557690905,0.06534864468009073,0.13749101600332164
SPX,skew_ratio_80_120,60,12m,rolling,rolling,11.903785030682258,2.6798334871277767,0.0036829395493064554,-0.27875908406343,0.012276465164354851,0.07365879098612911
FTSE,skew_ratio_80_120,60,1m,rolling,rolling,-1.199494422970382,0.1691746768982861,0.43282962379275824,-0.0027491263809704025,0.769735814090483,0.5902222142628522
FTSE,skew_ratio_80_120,60,3m,rolling,rolling,-2.746288772726646,0.10962369780041156,0.4563539078987381,-0.019675462892632205,0.510843387441536,0.5932374821901708
FTSE,skew_ratio_80_120,60,6m,rolling,rolling,0.5518026854081093,1.5373657490500952,0.062101884460003545,-0.09156080329131411,0.08871697780000506,0.18738819972989793
FTSE,skew_ratio_80_120,60,12m,rolling,rolling,1.0312622185686182,1.6626067266252638,0.048195591874619755,-0.18265186531627592,0.08032598645769959,0.1706870773168996
DAX,skew_ratio_80_120,60,1m,rolling,rolling,-1.0686142551124433,0.30854024079949055,0.37883564250395335,-0.02880020013705406,0.769735814090483,0.53950790202579
DAX,skew_ratio_80_120,60,3m,rolling,rolling,-1.0228040404737015,1.0153483743913498,0.15496989638017036,-0.10229184265886411,0.32154857893318006,0.33207834938607933
DAX,skew_ratio_80_120,60,6m,rolling,rolling,2.876796724151176,1.7714913862158812,0.03823951191323949,-0.19809520442194126,0.07647902382647898,0.16388362248531207
DAX,skew_ratio_80_120,60,12m,rolling,rolling,13.260973239261887,3.04019171516578,0.0011821379908925499,-0.39260640317652457,0.01148431602392343,0.059902992307977194
ASX,skew_ratio_80_120,60,1m,rolling,rolling,-1.9282612735698867,0.8294130715107875,0.20343535368473273,-0.0344502922668455,0.769735814090483,0.3937458458414182
ASX,skew_ratio_80_120,60,3m,rolling,rolling,-0.5995831278734043,1.6322839034142624,0.05130984628182259,-0.07614740862110769,0.20820911081099772,0.17103282093940864
ASX,skew_ratio_80_120,60,6m,rolling,rolling,8.527565726549202,2.9682352890289363,0.00149757480769943,-0.14628022207302993,0.014975748076994299,0.059902992307977194
ASX,skew_ratio_80_120,60,12m,rolling,rolling,0.46476220386424405,2.2417247035926824,0.01248958513086948,-0.230824391041427,0.0312239628271737,0.11881402766283666
ESTOX,skew_ratio_80_120,60,1m,rolling,rolling,0.28467250708399394,1.174711566821564,0.12005506509353202,-0.07056704903497801,0.769735814090483,0.28323284195468534
ESTOX,skew_ratio_80_120,60,3m,rolling,rolling,7.251690257027487,2.0939371347488174,0.018132790358703015,-0.17197680971025603,0.18132790358703016,0.1208852690580201
ESTOX,skew_ratio_80_120,60,6m,rolling,rolling,17.265884900577046,2.4014810728559253,0.008164426884911544,-0.2613260522246122,0.04082213442455772,0.10746491025858101
ESTOX,skew_ratio_80_120,60,12m,rolling,rolling,20.91695254413507,2.8342229964415258,0.0022968632047846863,-0.38150570079683815,0.01148431602392343,0.06890589614354059
KOSPI,skew_ratio_80_120,60,1m,rolling,rolling,-2.21953016754457,-0.09744896627107004,0.538815069863338,0.033576092834233025,0.769735814090483,0.6465780838360057
KOSPI,skew_ratio_80_120,60,3m,rolling,rolling,-1.896432756834665,1.5344236361251269,0.06246273324329931,0.10294675462211503,0.20820911081099772,0.18738819972989793
KOSPI,skew_ratio_80_120,60,6m,rolling,rolling,-8.447675728358895,0.004785759743922785,0.49809076538233354,0.15640801415263986,0.49809076538233354,0.6161947612977322
KOSPI,skew_ratio_80_120,60,12m,rolling,rolling,-6.635568330749764,0.7632156494498965,0.2226673986225919,0.22832858753296223,0.2474082206917688,0.40484981567743983
NASDAQ,skew_ratio_80_120,60,1m,rolling,rolling,-2.4537590817041544,-0.3885449526736091,0.6511936027778902,-0.025264272522286243,0.8139920034723627,0.7303105825546431
NASDAQ,skew_ratio_80_120,60,3m,rolling,rolling,-2.1392328515188463,0.1141613094936286,0.45455496094445424,-0.03553091120292875,0.510843387441536,0.5932374821901708
NASDAQ,skew_ratio_80_120,60,6m,rolling,rolling,-0.38528492415352833,0.43665400094501716,0.3311811467678792,-0.023903925755378915,0.36797905196431024,0.509509456565968
NASDAQ,skew_ratio_80_120,60,12m,rolling,rolling,-1.8549456429703515,0.3178463597310937,0.3753007413952945,-0.01377906614723559,0.3753007413952945,0.53950790202579
NIFTY,skew_ratio_80_120,60,1m,rolling,rolling,-2.01071136378288,0.04567149517163132,0.4817860418253529,-0.003957488932387017,0.769735814090483,0.6022325522816911
NIFTY,skew_ratio_80_120,60,3m,rolling,rolling,-1.1292550481573294,0.10104076822523914,0.4597590486973824,-0.01375810580471561,0.510843387441536,0.5932374821901708
NIFTY,skew_ratio_80_120,60,6m,rolling,rolling,2.150674178995271,1.6820882822050536,0.04627586112467026,-0.09706242250137694,0.07712643520778377,0.1706870773168996
NIFTY,skew_ratio_80_120,60,12m,rolling,rolling,1.9588735276247937,1.9131793524145246,0.027862547928380558,-0.13568258454154242,0.055725095856761116,0.13749101600332164
NIKKEI,skew_ratio_80_120,60,1m,rolling,rolling,-4.880227118437008,0.6338626162717884,0.2630852422850438,-0.07078300981152746,0.769735814090483,0.43246889142746925
NIKKEI,skew_ratio_80_120,60,3m,rolling,rolling,-7.03947555586979,-0.5087174918890665,0.6945248700949367,-0.051255921273554154,0.6945248700949367,0.7576634946490218
NIKKEI,skew_ratio_80_120,60,6m,rolling,rolling,-6.7941714917636675,0.5029691875825821,0.3074929678384878,-0.16955006757448754,0.36797905196431024,0.4919887485415805
NIKKEI,skew_ratio_80_120,60,12m,rolling,rolling,-12.377771437463325,1.0401588821141365,0.14913304554102516,-0.2824545581878822,0.18641630692628144,0.3253811902713276
SMI,skew_ratio_80_120,60,1m,rolling,rolling,-4.2915573799499285,-1.8411416938175253,0.9671996014598165,-0.00270633506895051,0.9671996014598165,0.9835928150438812
SMI,skew_ratio_80_120,60,3m,rolling,rolling,-1.8457945402036158,0.8815515109686295,0.18900969328018596,-0.050975920176759414,0.32154857893318006,0.3844264948071579
SMI,skew_ratio_80_120,60,6m,rolling,rolling,3.2539356017190046,2.105682800325338,0.017615957424084828,-0.09713686968027194,0.05871985808028276,0.1208852690580201
SMI,skew_ratio_80_120,60,12m,rolling,rolling,-4.62828389337786,1.239150399879317,0.10764490258569409,-0.15633130514979796,0.15377843226527727,0.2727517710752903
SPX,skew_ratio_80_110,60,1m,rolling,rolling,-2.9978002124608105,-0.7764276230605107,0.7812517299971227,-0.030891161241601107,0.8680574777745808,0.8370554249969171
SPX,skew_ratio_80_110,60,3m,rolling,rolling,-1.2039648404044367,1.064794624604093,0.1434844391003755,-0.11645091717302154,0.3587110977509388,0.31885430911194557
SPX,skew_ratio_80_110,60,6m,rolling,rolling,1.6864055013388057,1.6609540423703577,0.04836133857312156,-0.22791755336236227,0.08825099415788651,0.1706870773168996
SPX,skew_ratio_80_110,60,12m,rolling,rolling,9.082363899448499,1.7527409919240622,0.039823237998039926,-0.4444878029076276,0.09096572459143848,0.16478581240568246
FTSE,skew_ratio_80_110,60,1m,rolling,rolling,-1.0108839310271511,0.3763233138674651,0.3533382745440449,-0.00878846061806059,0.7775537695219401,0.523464110435622
FTSE,skew_ratio_80_110,60,3m,rolling,rolling,-3.411804536479446,-0.36504070156587803,0.6424594879522671,-0.01671719428204855,0.713843875502519,0.7273126278704911
FTSE,skew_ratio_80_110,60,6m,rolling,rolling,-0.4944820677772688,1.4075075021639045,0.0796384771151406,-0.10706625295687189,0.11376925302162944,0.23129959332001257
FTSE,skew_ratio_80_110,60,12m,rolling,rolling,0.50865536406558,1.690325367177553,0.04548286229571924,-0.2198016689784696,0.09096572459143848,0.1706870773168996
DAX,skew_ratio_80_110,60,1m,rolling,rolling,-1.7905430531324207,0.13636204398270482,0.44576753893068016,-0.034539293326539,0.7775537695219401,0.5932374821901708
DAX,skew_ratio_80_110,60,3m,rolling,rolling,-5.729313443050432,0.6392707781767029,0.2613233974914521,-0.11692075887790987,0.4355389958190869,0.43246889142746925
DAX,skew_ratio_80_110,60,6m,rolling,rolling,5.090327609465062,1.6168938647396658,0.052950596494731904,-0.26351216360891555,0.08825099415788651,0.17173166430723863
DAX,skew_ratio_80_110,60,12m,rolling,rolling,15.18784352921524,1.8715118242594377,0.03063708624713507,-0.45391324621487217,0.09096572459143848,0.14140193652523877
ASX,skew_ratio_80_110,60,1m,rolling,rolling,-3.192989777285682,0.7077893812174101,0.23953803080280656,-0.029529818720319113,0.7775537695219401,0.4223288648515835
ASX,skew_ratio_80_110,60,3m,rolling,rolling,-4.086057626956685,1.2313247816783985,0.10910070843011613,-0.04362901151279906,0.3587110977509388,0.2727517710752903
ASX,skew_ratio_80_110,60,6m,rolling,rolling,3.5329148198499083,2.4458915402355967,0.00722472303958299,-0.0798446816541897,0.06401235968194302,0.10746491025858101
ASX,skew_ratio_80_110,60,12m,rolling,rolling,6.669936705238033,2.490740433672999,0.0063738605930415086,-0.14345137130853475,0.06373860593041508,0.10746491025858101
ESTOX,skew_ratio_80_110,60,1m,rolling,rolling,-0.22015753282169648,0.6943509770723868,0.24373106461163213,-0.05878580444815991,0.7775537695219401,0.4223288648515835
ESTOX,skew_ratio_80_110,60,3m,rolling,rolling,1.6133577058158766,1.165038988001706,0.12200160575579735,-0.14071772373398142,0.3587110977509388,0.28323284195468534
ESTOX,skew_ratio_80_110,60,6m,rolling,rolling,14.994167962626225,1.9497167585827977,0.02560494387277721,-0.2560913431929735,0.06401235968194302,0.13749101600332164
ESTOX,skew_ratio_80_110,60,12m,rolling,rolling,25.03160439260418,2.175792373625323,0.01478539460434415,-0.3959408957851327,0.07392697302172074,0.1208852690580201
KOSPI,skew_ratio_80_110,60,1m,rolling,rolling,-0.47839594621681414,0.469805491001106,0.31924699549866953,-0.005022250547793574,0.7775537695219401,0.49891783126038164
KOSPI,skew_ratio_80_110,60,3m,rolling,rolling,-2.9902973504632113,-0.3312398467206087,0.6297683379377412,0.04282850540258598,0.713843875502519,0.7266557745435475
KOSPI,skew_ratio_80_110,60,6m,rolling,rolling,-5.222736675845874,-0.9624396777532127,0.8320856046457115,0.05352170585974704,0.8320856046457115,0.875879583837591
KOSPI,skew_ratio_80_110,60,12m,rolling,rolling,1.0374666187061066,0.7035736424669251,0.24084916523347744,0.24384875692804703,0.26761018359275274,0.4223288648515835
NASDAQ,skew_ratio_80_110,60,1m,rolling,rolling,-2.066829396382963,-0.15136536202967804,0.5601562441520751,-0.028243052458319907,0.8002232059315358,0.6655321712697921
NASDAQ,skew_ratio_80_110,60,3m,rolling,rolling,-0.6201566789201918,0.7640509825965284,0.22241843067658368,-0.06713673742140845,0.4355389958190869,0.40484981567743983
NASDAQ,skew_ratio_80_110,60,6m,rolling,rolling,0.3757284077457568,0.81182085852446,0.20844721574052066,-0.0783750669998523,0.2316080174894674,0.39704231569622983
NASDAQ,skew_ratio_80_110,60,12m,rolling,rolling,-1.7750053467368465,0.28900845055712765,0.3862874553847778,-0.07925753432557402,0.3862874553847778,0.53950790202579
NIFTY,skew_ratio_80_110,60,1m,rolling,rolling,-3.141746092659381,-0.480116112982207,0.6844275842754538,-0.03444940345145055,0.8555344803443172,0.7534982579179308
NIFTY,skew_ratio_80_110,60,3m,rolling,rolling,-2.43296626020173,-0.36359159184535744,0.6419184967998763,-0.02213465044138519,0.713843875502519,0.7273126278704911
NIFTY,skew_ratio_80_110,60,6m,rolling,rolling,3.213119357732974,2.0269147482993883,0.021335565986152664,-0.12908433166855646,0.06401235968194302,0.1347509430704379
NIFTY,skew_ratio_80_110,60,12m,rolling,rolling,-0.744510296978973,1.3083207216479946,0.09538227481293697,-0.20077140684913644,0.11922784351617122,0.25435273283449855
NIKKEI,skew_ratio_80_110,60,1m,rolling,rolling,-3.1948910071838865,0.08398982277485902,0.46653226171316403,-0.05476913963935909,0.7775537695219401,0.5955731000593584
NIKKEI,skew_ratio_80_110,60,3m,rolling,rolling,-3.939629627065755,-0.8110477930661438,0.7913308874721934,-0.03734907634387986,0.7913308874721934,0.8403513849262232
NIKKEI,skew_ratio_80_110,60,6m,rolling,rolling,0.14139453980193117,1.2613275620094364,0.10359542744667172,-0.1747003075995658,0.12949428430833965,0.27024894116523057
NIKKEI,skew_ratio_80_110,60,12m,rolling,rolling,1.9976261144687868,1.3201941817905647,0.09338509701409466,-0.22512306454827596,0.11922784351617122,0.25435273283449855
SMI,skew_ratio_80_110,60,1m,rolling,rolling,-4.460598505201885,-2.2151612242810717,0.9866254998356027,-0.020390080752973418,0.9866254998356027,0.9949164704224565
SMI,skew_ratio_80_110,60,3m,rolling,rolling,-0.4836265530996142,1.0966155255462635,0.13640474885081036,-0.05685425662865985,0.3587110977509388,0.3088409407942876
