predictor,window_days,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
iv_skew_90_100,1008,1d,rolling,rolling,-0.112,0.548247922295857,0.29176084036512445,-0.027016,0.4128979638519146,0.33745832138616805
iv_skew_90_100,1008,5d,rolling,rolling,-0.209,0.5012348108501368,0.30810293892694396,-0.081039,0.4108039185692586,0.34170865973951553
iv_skew_90_100,1008,21d,rolling,rolling,-0.81,0.6846146872621923,0.2467935482364367,-0.284892,0.2467935482364367,0.29249605716911015
iv_skew_90_100,1008,63d,rolling,rolling,-1.719,1.2391856129241274,0.10763838366126191,-0.41314,0.14333851777652126,0.17514042087256176
iv_skew_90_100,1008,126d,rolling,rolling,0.371,1.6032759286288798,0.05443687424347309,-0.425062,0.06699922983812073,0.11360738972550906
iv_skew_90_100,1008,252d,rolling,rolling,9.412,2.9236741127664336,0.0017296335066353554,-0.966962,0.004612356017694281,0.023065657816553974
iv_skew_90_100,1260,1d,rolling,rolling,-0.092,0.7415727507748423,0.22917311918794267,-0.026318,0.4074188785563425,0.2784888536967405
iv_skew_90_100,1260,5d,rolling,rolling,-0.078,1.1003038811749144,0.1355998708351643,-0.076417,0.3358668666217947,0.20339980625274645
iv_skew_90_100,1260,21d,rolling,rolling,-0.003,1.5417185194431944,0.061571004808653795,-0.271177,0.0807507399775157,0.12186651262943185
iv_skew_90_100,1260,63d,rolling,rolling,-0.882,1.5065936915529934,0.06595741770058856,-0.38916,0.117257631467713,0.12186651262943185
iv_skew_90_100,1260,126d,rolling,rolling,0.164,1.5061757794474226,0.06601102767427558,-0.35771,0.07041176285256062,0.12186651262943185
iv_skew_90_100,1260,252d,rolling,rolling,8.17,3.2892138029888334,5.023383706990903e-4,-0.772525,0.0020093534827963612,0.012056120896778167
iv_skew_90_100,1512,1d,rolling,rolling,-0.09,0.6506918295584408,0.25762271923086466,-0.024857,0.4121963507693835,0.30160708592881713
iv_skew_90_100,1512,5d,rolling,rolling,-0.134,0.6977868679353093,0.2426552464189184,-0.070358,0.38824839427026947,0.29118629570270205
iv_skew_90_100,1512,21d,rolling,rolling,0.113,1.509308543350081,0.0656099762317315,-0.251855,0.0807507399775157,0.12186651262943185
iv_skew_90_100,1512,63d,rolling,rolling,-0.688,1.277545378530397,0.10070488519491136,-0.34756,0.14333851777652126,0.17129497274447678
iv_skew_90_100,1512,126d,rolling,rolling,1.751,1.7660656958699843,0.03869241389989,-0.281466,0.05627987476347636,0.10214976872843624
iv_skew_90_100,1512,252d,rolling,rolling,6.537,2.7514160142517157,0.0029669116637531597,-0.633467,0.006216388029592524,0.023740753380491444
iv_skew_90_100,2520,1d,rolling,rolling,0.033,1.001135120345867,0.15838074392833917,-0.018765,0.4074188785563425,0.21720787738743658
iv_skew_90_100,2520,5d,rolling,rolling,0.091,0.776338231952517,0.21877465241170263,-0.048483,0.38824839427026947,0.27634692936215066
iv_skew_90_100,2520,21d,rolling,rolling,0.922,1.2451903899185317,0.10653088713609085,-0.170868,0.12174958529838954,0.17514042087256176
iv_skew_90_100,2520,63d,rolling,rolling,2.357,1.643264874276495,0.05016407124304934,-0.221835,0.10032814248609868,0.10944888271210765
iv_skew_90_100,2520,126d,rolling,rolling,2.131,1.6578238196291832,0.04867651602353762,-0.128456,0.06490202136471682,0.1086731520525491
iv_skew_90_100,2520,252d,rolling,rolling,6.081,1.894547881142121,0.02907616261176119,-0.472066,0.038768216815681586,0.0962521245078991
log_slope_quad,1008,1d,rolling,rolling,-0.159,0.2286838371635106,0.40955732900287933,8.04e-4,0.4368611509364046,0.4227688557449077
log_slope_quad,1008,5d,rolling,rolling,-0.343,0.03675634549198096,0.4853396408794034,0.001864,0.4853396408794034,0.49566601621726303
log_slope_quad,1008,21d,rolling,rolling,-0.608,1.1793387289414756,0.11913166119007848,0.009777,0.1270737719360837,0.18748589302045138
log_slope_quad,1008,63d,rolling,rolling,-2.872,-0.029699583910306672,0.5118466781159704,0.014981,0.5118466781159704,0.5118466781159704
log_slope_quad,1008,126d,rolling,rolling,-0.027,1.5515673719886645,0.06038288763398356,0.039951,0.06900901443883835,0.12186651262943185
log_slope_quad,1008,252d,rolling,rolling,4.382,1.46369685168259,0.07163839805425816,0.0831,0.08187245491915218,0.1297601172303544
log_slope_quad,1260,1d,rolling,rolling,-0.112,0.3763126576391279,0.353342235155397,8e-4,0.424228036859993,0.38113319747099
log_slope_quad,1260,5d,rolling,rolling,-0.194,0.26750207747420857,0.3945413074215046,0.001853,0.42084406124960494,0.4116952773093961
log_slope_quad,1260,21d,rolling,rolling,0.384,1.844859848989985,0.032528964319612816,0.009366,0.06505792863922563,0.10112686088982334
log_slope_quad,1260,63d,rolling,rolling,-0.104,1.4214059802874521,0.07759938446191086,0.015423,0.12415901513905739,0.13544619833351715
log_slope_quad,1260,126d,rolling,rolling,3.054,2.7250185537803233,0.0032148936869415496,0.039274,0.010287659798212959,0.023740753380491444
log_slope_quad,1260,252d,rolling,rolling,5.025,2.7254549769233702,0.0032106466731934014,0.08116,0.006216388029592524,0.023740753380491444
log_slope_quad,1512,1d,rolling,rolling,-0.044,0.7444149170576551,0.22831274859932196,7.79e-4,0.4074188785563425,0.2784888536967405
log_slope_quad,1512,5d,rolling,rolling,-0.088,0.512069718301449,0.3043011084102473,0.001835,0.4108039185692586,0.34170865973951553
log_slope_quad,1512,21d,rolling,rolling,0.364,1.7036223630790985,0.04422583040114685,0.008715,0.07862369849092773,0.10529345622166583
log_slope_quad,1512,63d,rolling,rolling,0.712,1.728034759371103,0.04199099638040479,0.015743,0.10032814248609868,0.1052888900992595
log_slope_quad,1512,126d,rolling,rolling,4.351,2.8906650308148985,0.0019221381513794978,0.039698,0.01018751656542412,0.023065657816553974
