predictor,horizon_m,R2_in,adj_R2_in,Beta,Beta_1sd_y,Beta_sd_sd,t_HH,p_HH,p_FDR,p_FDR_global,Beta_1sd_bps,horizon
iv_skew_80_100,1,0.12994911428542327,-0.28,0.02563,0.0015679341587520933,0.036,0.6,0.551,0.966,0.966,15.7,1m
iv_skew_80_100,3,0.3941840783233384,-0.02,0.07679,0.004703780579672849,0.063,0.62,0.537,0.911,0.966,47,3m
iv_skew_80_100,6,0.5264138864224476,0.11,0.13183,0.00809284056906065,0.073,0.55,0.581,0.843,0.966,80.9,6m
iv_skew_80_100,12,0.2919019510257782,-0.14,0.14209,0.008644435094211785,0.054,0.33,0.738,0.934,0.966,86.4,12m
iv_skew_80_110,1,0.3228749620554969,-0.09,0.04064,0.002471487076586713,0.057,0.93,0.354,0.966,0.966,24.7,1m
iv_skew_80_110,3,1.004866393984085,0.6,0.12336,0.007510203008546796,0.1,1.15,0.253,0.911,0.966,75.1,3m
iv_skew_80_110,6,0.6547418979721807,0.24,0.14878,0.009025523112837964,0.081,0.7,0.487,0.843,0.966,90.3,6m
iv_skew_80_110,12,0.03912719637544405,-0.39,0.05237,0.0031648817200901082,0.02,0.14,0.887,0.936,0.966,31.6,12m
iv_skew_80_120,1,0.10748798009085053,-0.3,0.02707,0.0014260052048235465,0.033,0.51,0.612,0.966,0.966,14.3,1m
iv_skew_80_120,3,0.3325445034708947,-0.08,0.08168,0.004320384530928762,0.058,0.71,0.477,0.911,0.966,43.2,3m
iv_skew_80_120,6,0.09677738517444262,-0.32,0.06529,0.00346995831881938,0.031,0.31,0.761,0.843,0.966,34.7,6m
iv_skew_80_120,12,0.41080353070331355,-0.02,-0.19077,-0.010254989090482693,-0.064,-0.5,0.621,0.903,0.966,-102.5,12m
iv_skew_90_100,1,6.956165454865089e-4,-0.41,0.00527,1.1471655897091333e-4,0.003,0.04,0.966,0.966,0.981,1.1,1m
iv_skew_90_100,3,0.16279049909133453,-0.25,0.13848,0.003022818300312705,0.04,0.41,0.68,0.911,0.966,30.2,3m
iv_skew_90_100,6,0.2607991762554685,-0.16,0.25947,0.005696268130072717,0.051,0.37,0.71,0.843,0.966,57,6m
iv_skew_90_100,12,0.41885561906475877,-0.01,0.47046,0.010355004499007562,0.065,0.39,0.7,0.933,0.966,103.6,12m
iv_skew_90_110,1,0.16346958896214492,-0.25,0.05437,0.0017585699392197681,0.04,0.51,0.61,0.966,0.966,17.6,1m
iv_skew_90_110,3,0.9354403849784312,0.53,0.22337,0.007246120855002124,0.097,1.26,0.21,0.911,0.966,72.5,3m
iv_skew_90_110,6,0.2352580597978601,-0.18,0.16654,0.005410153305362219,0.049,0.47,0.637,0.843,0.966,54.1,6m
iv_skew_90_110,12,0.041338075963639545,-0.39,-0.09916,-0.0032530688002272846,-0.02,-0.13,0.898,0.936,0.966,-32.5,12m
iv_skew_90_120,1,0.011937520848884066,-0.4,-0.01233,-4.752238532227302e-4,-0.011,-0.13,0.898,0.966,0.966,-4.8,1m
iv_skew_90_120,3,4.885953444867983e-4,-0.41,0.00431,1.656045167676342e-4,0.002,0.02,0.983,0.983,0.99,1.7,3m
iv_skew_90_120,6,0.18965541437670838,-0.23,-0.12596,-0.00485757974569696,-0.044,-0.38,0.708,0.843,0.966,-48.6,6m
iv_skew_90_120,12,1.95929987213393,1.54,-0.59062,-0.022395902801824453,-0.14,-0.77,0.442,0.884,0.966,-224,12m
skew_ratio_80_100,1,0.0052930551648227245,-0.4,-9.9e-4,-3.164421816014618e-4,-0.007,-0.1,0.92,0.966,0.966,-3.2,1m
skew_ratio_80_100,3,0.012191280798362611,-0.4,-0.00259,-8.272222031845499e-4,-0.011,-0.09,0.925,0.955,0.966,-8.3,3m
skew_ratio_80_100,6,1.24064594510283e-4,-0.42,3.9e-4,1.242399438450076e-4,0.001,0.01,0.993,0.993,0.993,1.2,6m
skew_ratio_80_100,12,0.016146339025944798,-0.41,-0.00634,-0.0020330832039144363,-0.013,-0.08,0.934,0.936,0.966,-20.3,12m
skew_ratio_80_110,1,0.03328225160620064,-0.38,0.0034,7.935010568585699e-4,0.018,0.24,0.809,0.966,0.966,7.9,1m
skew_ratio_80_110,3,0.08049783492144238,-0.33,0.0091,0.002125639517134328,0.028,0.24,0.811,0.911,0.966,21.3,3m
skew_ratio_80_110,6,0.17822819059322173,-0.24,-0.02017,-0.004708965571810996,-0.042,-0.35,0.726,0.843,0.966,-47.1,6m
skew_ratio_80_110,12,2.0245432409797965,1.6,-0.0979,-0.02276573349095342,-0.142,-1.3,0.194,0.576,0.966,-227.7,12m
skew_ratio_80_120,1,0.027726655189836684,-0.38,-0.00358,-7.242523292063338e-4,-0.017,-0.26,0.794,0.966,0.966,-7.2,1m
skew_ratio_80_120,3,0.15486142763158903,-0.26,-0.01453,-0.0029482828404391076,-0.039,-0.43,0.668,0.911,0.966,-29.5,3m
skew_ratio_80_120,6,1.9256150236512435,1.52,-0.07589,-0.015478256844721474,-0.139,-1.59,0.113,0.605,0.854,-154.8,6m
skew_ratio_80_120,12,8.699403369582356,8.31,-0.22934,-0.0471913990930101,-0.295,-3.17,0.00174,0.0279,0.0744,-471.9,12m
skew_ratio_90_100,1,0.058701044585326316,-0.35,-0.00555,-0.0010538142685834835,-0.024,-0.31,0.754,0.966,0.966,-10.5,1m
skew_ratio_90_100,3,0.1329754616626705,-0.28,-0.01434,-0.002732016191257718,-0.036,-0.3,0.763,0.911,0.966,-27.3,3m
skew_ratio_90_100,6,0.03414421089677577,-0.38,-0.01077,-0.002061084780206568,-0.018,-0.13,0.897,0.926,0.966,-20.6,6m
skew_ratio_90_100,12,0.01711975799094304,-0.41,-0.0109,-0.0020934709050498884,-0.013,-0.08,0.936,0.936,0.966,-20.9,12m
skew_ratio_90_110,1,0.024061326220550797,-0.39,0.00528,6.746848223782439e-4,0.016,0.2,0.842,0.966,0.966,6.7,1m
skew_ratio_90_110,3,0.06296734507743523,-0.35,0.01469,0.0018799885604471735,0.025,0.23,0.819,0.911,0.966,18.8,3m
skew_ratio_90_110,6,1.1543540731944926,0.74,-0.09365,-0.011984138956869402,-0.107,-1.05,0.293,0.843,0.966,-119.8,6m
skew_ratio_90_110,12,5.972509663764706,5.57,-0.30315,-0.03910178194372733,-0.244,-2.46,0.0147,0.0942,0.235,-391,12m
skew_ratio_90_120,1,0.10366600777551704,-0.31,-0.00798,-0.0014004233610282713,-0.032,-0.59,0.554,0.966,0.966,-14,1m
skew_ratio_90_120,3,0.4266539272280265,0.02,-0.02804,-0.0048936779944534535,-0.065,-1.04,0.301,0.911,0.966,-48.9,3m
skew_ratio_90_120,6,3.4081184148398407,3,-0.11806,-0.020591816248698092,-0.185,-2.28,0.0234,0.374,0.299,-205.9,6m
skew_ratio_90_120,12,12.170728800488499,11.79,-0.32934,-0.055818275067401724,-0.349,-2.47,0.0144,0.0942,0.235,-558.2,12m
wing_slope,1,0.1074879800908494,-0.3,-0.01083,-0.0014260052048235437,-0.033,-0.51,0.612,0.966,0.966,-14.3,1m
wing_slope,3,0.3325445034708942,-0.08,-0.03267,-0.004320384530928766,-0.058,-0.71,0.477,0.911,0.966,-43.2,3m
wing_slope,6,0.09677738517444272,-0.32,-0.02612,-0.003469958318819384,-0.031,-0.31,0.761,0.843,0.966,-34.7,6m
wing_slope,12,0.410803530703313,-0.02,0.07631,0.010254989090482685,0.064,0.5,0.621,0.903,0.966,102.5,12m
wing_curve,1,0.08861872969959583,-0.32,5.7e-4,0.001294803664900297,0.03,0.42,0.677,0.966,0.966,12.9,1m
wing_curve,3,0.2659516105392231,-0.15,0.00172,0.0038636593421137334,0.052,0.44,0.657,0.911,0.966,38.6,3m
wing_curve,6,0.6476796574713344,0.23,0.00398,0.008976715155762278,0.08,0.55,0.581,0.843,0.966,89.8,6m
wing_curve,12,1.301386640843602,0.88,0.00831,0.018252455195396863,0.114,0.59,0.556,0.903,0.966,182.5,12m
skew_slope_quad,1,0.13378021908752982,-0.28,-0.01222,-0.0015908788613406204,-0.037,-0.54,0.592,0.966,0.966,-15.9,1m
skew_slope_quad,3,0.49954157562763213,0.09,-0.04051,-0.005295211791026237,-0.071,-0.88,0.38,0.911,0.966,-53,3m
skew_slope_quad,6,0.13843206379766498,-0.28,-0.03163,-0.004150072301899415,-0.037,-0.36,0.719,0.843,0.966,-41.5,6m
skew_slope_quad,12,0.3245451341450661,-0.1,0.06871,0.009114978949687467,0.057,0.41,0.686,0.933,0.966,91.1,12m
skew_curve_quad,1,0.18973843991658704,-0.22,8.8e-4,0.0018946056255033721,0.044,0.63,0.526,0.966,0.966,18.9,1m
skew_curve_quad,3,0.5043970777423314,0.09,0.00248,0.005320884065495493,0.071,0.64,0.525,0.911,0.966,53.2,3m
skew_curve_quad,6,0.8550808610766486,0.44,0.00482,0.010314327314036769,0.092,0.67,0.506,0.843,0.966,103.1,6m
skew_curve_quad,12,1.2999509008319294,0.88,0.00881,0.01824238401008972,0.114,0.62,0.535,0.903,0.966,182.4,12m
log_slope_quad,1,0.01936212265515205,-0.39,0.00126,6.052260928249906e-4,0.014,0.23,0.816,0.966,0.966,6.1,1m
log_slope_quad,3,0.12543581950929802,-0.29,0.00554,0.00265343407044827,0.035,0.45,0.652,0.911,0.966,26.5,3m
log_slope_quad,6,2.967430965590665,2.56,0.03987,0.01921443543287132,0.172,2.1,0.0371,0.395,0.431,192.1,6m
log_slope_quad,12,12.833790394681433,12.46,0.11897,0.05731860206547306,0.358,2.91,0.00396,0.0422,0.127,573.2,12m
log_curve_quad,1,0.01160529701601714,-0.4,4e-5,4.685644005612298e-4,0.011,0.16,0.874,0.966,0.966,4.7,1m
log_curve_quad,3,0.057866175757305426,-0.36,1.7e-4,0.0018022287204761348,0.024,0.22,0.826,0.911,0.966,18,3m
