predictor,window_months,horizon,benchmark,window_type,R2_oos_raw,cw_stat,cw_p_raw,beta_avg,cw_q_h,cw_q_global_bench
iv_100,48,1m,rolling,rolling,-15.688,-1.0577796435799993,0.854922042273165,0.106583,0.9999271463163794,0.9999271463163794
iv_100,48,3m,rolling,rolling,-19.669,-0.6535084241989708,0.7432857198664082,0.233908,0.9749849786839685,0.9999271463163794
iv_100,48,6m,rolling,rolling,-14.066,0.05794902231410239,0.476894617270088,0.395964,0.7392483939032289,0.9060301144506683
iv_100,48,12m,rolling,rolling,-8.608,0.47900410078126104,0.3159678556679548,0.610629,0.5141171888834519,0.7679218770664219
iv_100,60,1m,rolling,rolling,-7.379,-0.6257887012738054,0.7342732281174805,0.100205,0.9999271463163794,0.9999271463163794
iv_100,60,3m,rolling,rolling,1.56,1.4747255094166682,0.07014317749768477,0.243962,0.46632194697509116,0.46493258330043513
iv_100,60,6m,rolling,rolling,-4.092,0.7382548808261203,0.23017978936226763,0.4057,0.5368680066926715,0.7124144373060346
iv_100,60,12m,rolling,rolling,-6.874,0.43522766798331347,0.3316985907435782,0.587957,0.5220174542849756,0.791132042518845
iv_100,72,1m,rolling,rolling,-6.789,-0.5459806963554327,0.7074603967671914,0.089402,0.9999271463163794,0.9999271463163794
iv_100,72,3m,rolling,rolling,3.597,1.5515737803745864,0.06038212044086628,0.235314,0.46632194697509116,0.46493258330043513
iv_100,72,6m,rolling,rolling,-1.792,0.688881859119432,0.24544880815034206,0.400682,0.5368680066926715,0.7212883143351924
iv_100,72,12m,rolling,rolling,-2.017,0.5394683498496882,0.29478186506700743,0.572467,0.4964747201128546,0.7496439482498732
iv_100,120,1m,rolling,rolling,-1.595,0.06249527366727589,0.47508421282589613,0.062062,0.9999271463163794,0.9060301144506683
iv_100,120,3m,rolling,rolling,5.082,1.3682441577810176,0.08561783188009423,0.183272,0.46632194697509116,0.4743834806762392
iv_100,120,6m,rolling,rolling,7.078,1.0999871448905991,0.13566886147975216,0.346029,0.4341403567352069,0.5720778905071047
iv_100,120,12m,rolling,rolling,6.114,0.9409487439030766,0.17336556326717492,0.492942,0.4267460018884306,0.6434420074438287
iv_110,48,1m,rolling,rolling,-21.28,-1.1495920139667504,0.8748440255305101,0.199135,0.9999271463163794,0.9999271463163794
iv_110,48,3m,rolling,rolling,-19.218,-0.5076956484093494,0.6941665996680433,0.424125,0.9749849786839685,0.9999271463163794
iv_110,48,6m,rolling,rolling,-7.814,0.697928284054639,0.24261102250802571,0.704038,0.5368680066926715,0.7212883143351924
iv_110,48,12m,rolling,rolling,3.167,1.2954321027126634,0.0975856048054698,1.175815,0.2927568144164094,0.4996382966040054
iv_110,60,1m,rolling,rolling,-12.953,-0.8165079669756709,0.7928951656181878,0.188339,0.9999271463163794,0.9999271463163794
iv_110,60,3m,rolling,rolling,2.854,1.4879121962581343,0.06838702542013625,0.440015,0.46632194697509116,0.46493258330043513
iv_110,60,6m,rolling,rolling,0.824,1.1522760429604955,0.1246038291366367,0.739733,0.42301506211242906,0.5629161222172764
iv_110,60,12m,rolling,rolling,-2.665,0.8427041844868554,0.19969695316631983,1.174129,0.4564501786658739,0.6757117533050381
iv_110,72,1m,rolling,rolling,-11.958,-0.8061135222636554,0.7899113023276515,0.166356,0.9999271463163794,0.9999271463163794
iv_110,72,3m,rolling,rolling,4.45,1.482704143092186,0.06907651669497529,0.419774,0.46632194697509116,0.46493258330043513
iv_110,72,6m,rolling,rolling,1.735,1.0116576024136843,0.15585089693144133,0.758095,0.45123158912619804,0.6106810655272803
iv_110,72,12m,rolling,rolling,-1.333,0.725258885567998,0.2341466118075936,1.177732,0.47848850423131634,0.7124144373060346
iv_110,120,1m,rolling,rolling,-1.056,0.2316009687648362,0.40842397750161646,0.126442,0.9999271463163794,0.8748529551676223
iv_110,120,3m,rolling,rolling,4.165,1.2174161198120645,0.11172296646278226,0.345729,0.46632194697509116,0.528691756358367
iv_110,120,6m,rolling,rolling,7.129,1.185033704203528,0.11800206057551701,0.71862,0.41956288204628267,0.5394379912023635
iv_110,120,12m,rolling,rolling,6.467,1.0936223201593507,0.13706032793399384,1.094162,0.35561598599090294,0.5720778905071047
iv_120,48,1m,rolling,rolling,-11.068,-0.8805489070121013,0.8107189884462029,0.14027,0.9999271463163794,0.9999271463163794
iv_120,48,3m,rolling,rolling,-19.46,-0.6940760035109335,0.756182726763168,0.304898,0.9749849786839685,0.9999271463163794
iv_120,48,6m,rolling,rolling,-7.642,0.6169333692068537,0.26863933783685146,0.643147,0.5386557311348193,0.7281139538098248
iv_120,48,12m,rolling,rolling,5.21,1.4149884319757005,0.07853594389728044,0.950651,0.25131502047129745,0.47121566338368265
iv_120,60,1m,rolling,rolling,-2.056,-0.08519176986889472,0.5339455332555851,0.132279,0.9999271463163794,0.9653082445363206
iv_120,60,3m,rolling,rolling,2.87,1.5093587191220774,0.06560356821550249,0.319338,0.46632194697509116,0.46493258330043513
iv_120,60,6m,rolling,rolling,-0.2,1.0333827890700014,0.1507123987723783,0.630643,0.45123158912619804,0.6091953803009817
